,aus,ban,fin,rom,tur,rand
aej_,0.0,0.0,0.0,0.0,0.0,3.0
aej,0.0,0.0,0.1999999999999999,0.0,0.0,0.8
aek_,0.0,0.0,0.0,0.0,0.0,3.0
aek,0.0,0.0,0.1999999999999999,0.0,0.0,0.8
ael_,0.0,0.0,0.4,0.0,0.0,0.6
ael,0.0,0.6585365853658537,0.1097560975609756,0.1317073170731707,0.0,0.1
aem_,0.0,0.0,0.0,0.0,0.0,3.0
aem,0.0,0.1333333333333333,0.2666666666666667,0.0,0.0,0.6
aen_,0.0,0.0,0.6416666666666667,0.0583333333333333,0.0,0.3
aen,0.0,0.9166666666666666,0.0833333333333333,0.0,0.0,0.0
aeo_,0.0,0.0,0.0,0.0,0.0,3.0
aeo,0.0,0.0,0.0,0.0,0.0,3.0
aep_,0.0,0.0,0.0,0.0,0.0,3.0
aep,0.0,0.0,0.0,0.0,0.0,3.0
aeq_,0.0,0.0,0.0,0.0,0.0,3.0
aeq,0.0,0.0,0.0,0.0,0.0,3.0
aer_,0.0,0.0,0.0,0.3,0.0,0.7
aer,0.0,0.0,0.0,0.7,0.0,0.3
aes_,0.0,0.0,0.4,0.0,0.0,0.5999999999999999
aes,0.0,0.0,0.4666666666666666,0.2333333333333333,0.0,0.3
aet_,0.0,0.0,0.0,0.0,0.0,3.0
aet,0.0,0.0,0.7,0.0,0.0,0.3
aeu_,0.0,0.0,0.0,0.0,0.0,3.0
aeu,0.0,0.0,0.0,0.0,0.0,3.0
aev_,0.0,0.0,0.5,0.0,0.0,0.5
aev,0.0,0.0,0.8,0.0,0.0,0.2
aew_,0.0,0.0,0.0,0.0,0.0,3.0
aew,0.0,0.0,0.0,0.0,0.0,3.0
aex_,0.0,0.0,0.0,0.0,0.0,3.0
aex,0.0,0.0,0.0,0.0,0.0,3.0
aey_,0.0,0.0,0.0,0.0,0.0,3.0
aey,0.0,0.0,0.0,0.0,0.0,3.0
aez_,0.0,0.0,0.0,0.0,0.0,3.0
aez,0.0,0.0,0.0,0.0,0.0,3.0
aeŋ_,0.0,0.0,0.0,0.0,0.0,3.0
aeŋ,0.0,0.0,0.0,0.0,0.0,3.0
afa_,0.0,0.8,0.0,0.0,0.0,0.2
afa,0.0,0.9626168224299064,0.0,0.0373831775700934,0.0,0.0
afb_,0.0,0.0,0.0,0.0,0.0,3.0
afb,0.0,0.0,0.0,0.0,0.0,3.0
afc_,0.0,0.0,0.0,0.0,0.0,3.0
afc,0.0,0.0,0.0,0.0,0.0,3.0
afd_,0.0,0.0,0.0,0.0,0.0,3.0
afd,0.0,0.0,0.0,0.0,0.0,3.0
afe_,0.0,0.3,0.0,0.0,0.0,0.7
afe,0.0,0.0857142857142857,0.0,0.5142857142857142,0.0,0.3999999999999999
